epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,236.584,2.5742,5.40832,2.21674,0.11013,0.08422,0.03339,0.01089,2.67669,11.4622,2.41055,0.000663946,0.000663946,0.000663946
2,350.414,2.4483,3.04844,2.10591,0.08964,0.08617,0.03003,0.01003,2.60948,4.81699,2.37554,0.00132183,0.00132183,0.00132183
3,464.111,2.40988,2.97979,2.07336,0.11875,0.13087,0.05085,0.01771,2.36037,3.85502,2.17572,0.00197091,0.00197091,0.00197091
4,577.38,2.33682,2.82857,2.02682,0.12145,0.17007,0.06661,0.02133,2.30289,3.91206,2.11086,0.0019604,0.0019604,0.0019604
5,690.607,2.28108,2.73464,1.99646,0.22322,0.19177,0.11764,0.04055,2.30397,2.95129,2.15576,0.0019472,0.0019472,0.0019472
6,803.647,2.22256,2.64572,1.94881,0.18623,0.1895,0.1041,0.03699,2.22432,2.93733,2.12675,0.001934,0.001934,0.001934
7,916.394,2.19471,2.57273,1.9213,0.18099,0.18562,0.09736,0.03447,2.21745,2.89936,2.02936,0.0019208,0.0019208,0.0019208
8,1029.1,2.13543,2.51996,1.87741,0.23446,0.17428,0.11346,0.0415,2.22217,3.09605,2.04514,0.0019076,0.0019076,0.0019076
9,1141.81,2.09756,2.43015,1.85305,0.18058,0.23772,0.11879,0.04294,2.14494,2.94632,2.01149,0.0018944,0.0018944,0.0018944
10,1254.41,2.08014,2.37261,1.84053,0.2351,0.23842,0.16702,0.05825,2.14804,2.88834,1.96201,0.0018812,0.0018812,0.0018812
11,1367.13,2.05974,2.30584,1.81374,0.21969,0.23518,0.1464,0.05546,2.11907,2.80616,1.94626,0.001868,0.001868,0.001868
12,1479.81,2.00742,2.25247,1.7871,0.24217,0.21736,0.1426,0.04988,2.16052,2.78004,2.05477,0.0018548,0.0018548,0.0018548
13,1592.49,2.01561,2.22764,1.78972,0.23598,0.25429,0.1517,0.05227,2.16241,2.63868,2.02899,0.0018416,0.0018416,0.0018416
14,1705.43,1.98641,2.16977,1.76355,0.24064,0.24457,0.15565,0.05751,2.11903,2.88994,1.94806,0.0018284,0.0018284,0.0018284
15,1818.1,1.97545,2.13654,1.75543,0.22669,0.22157,0.12574,0.04434,2.25167,2.99291,2.10575,0.0018152,0.0018152,0.0018152
16,1930.75,1.96009,2.0958,1.75099,0.26914,0.26855,0.20434,0.07707,2.15523,2.53619,2.02678,0.001802,0.001802,0.001802
17,2043.54,1.96204,2.06057,1.7484,0.27542,0.24879,0.16901,0.06146,2.11506,2.64199,1.97894,0.0017888,0.0017888,0.0017888
18,2156.07,1.93876,2.05676,1.73335,0.23802,0.25397,0.15693,0.05503,2.21653,2.77753,2.06278,0.0017756,0.0017756,0.0017756
19,2268.48,1.9171,1.97355,1.70612,0.30888,0.24814,0.1913,0.07033,2.12565,2.73732,1.96493,0.0017624,0.0017624,0.0017624
20,2380.96,1.92772,1.97813,1.72456,0.24481,0.23356,0.15177,0.05639,2.1728,2.95153,2.00133,0.0017492,0.0017492,0.0017492
21,2493.24,1.88877,1.95263,1.70458,0.24937,0.23386,0.15375,0.05387,2.25983,2.8725,2.03901,0.001736,0.001736,0.001736
22,2605.69,1.8945,1.91854,1.69354,0.28824,0.23907,0.19677,0.07199,2.21113,2.72785,2.02924,0.0017228,0.0017228,0.0017228
23,2718.06,1.86539,1.89462,1.69452,0.28139,0.23421,0.17724,0.06227,2.23793,2.7701,2.11357,0.0017096,0.0017096,0.0017096
24,2830.36,1.83797,1.81535,1.65102,0.2823,0.25591,0.18039,0.06242,2.18935,2.71111,2.06639,0.0016964,0.0016964,0.0016964
25,2942.71,1.84999,1.83624,1.66807,0.28916,0.25786,0.18106,0.06469,2.19619,2.71604,2.03088,0.0016832,0.0016832,0.0016832
26,3054.85,1.82975,1.79472,1.65676,0.23488,0.25494,0.1504,0.04751,2.29332,2.95183,2.11027,0.00167,0.00167,0.00167
27,3167.2,1.8333,1.7861,1.6612,0.24969,0.25462,0.16905,0.06159,2.21537,2.7126,2.07991,0.0016568,0.0016568,0.0016568
28,3279.59,1.80344,1.75054,1.63856,0.25904,0.26174,0.15616,0.05559,2.18841,2.66233,2.07469,0.0016436,0.0016436,0.0016436
29,3391.77,1.81364,1.7295,1.63648,0.3081,0.25915,0.2032,0.08042,2.24591,2.95008,2.07248,0.0016304,0.0016304,0.0016304
30,3504.29,1.83117,1.74486,1.65382,0.27847,0.26174,0.18271,0.06247,2.21087,2.67452,2.09139,0.0016172,0.0016172,0.0016172
31,3616.89,1.78698,1.72966,1.63014,0.30174,0.25364,0.18443,0.0666,2.26508,2.93546,2.11042,0.001604,0.001604,0.001604
32,3729.42,1.79355,1.71018,1.63263,0.27549,0.26466,0.17709,0.06759,2.22509,2.79969,2.07404,0.0015908,0.0015908,0.0015908
33,3841.91,1.77341,1.6945,1.61901,0.30111,0.24781,0.19183,0.06943,2.17984,2.98392,2.02743,0.0015776,0.0015776,0.0015776
34,3954.47,1.75194,1.64438,1.61039,0.26295,0.26919,0.17892,0.06706,2.19287,2.81377,2.04908,0.0015644,0.0015644,0.0015644
35,4067.04,1.74766,1.6142,1.59961,0.28781,0.26531,0.18268,0.06186,2.20212,2.85811,2.03285,0.0015512,0.0015512,0.0015512
36,4179.46,1.73684,1.6003,1.59483,0.27688,0.27535,0.18272,0.06573,2.27959,2.90604,2.1133,0.001538,0.001538,0.001538
37,4291.31,1.73854,1.61593,1.59658,0.28523,0.28345,0.19168,0.06751,2.32761,2.7844,2.18937,0.0015248,0.0015248,0.0015248
38,4403.17,1.73612,1.5845,1.58335,0.28157,0.24033,0.18367,0.06366,2.29889,2.98616,2.16775,0.0015116,0.0015116,0.0015116
39,4516.11,1.72488,1.54983,1.57676,0.31393,0.27114,0.20897,0.08094,2.30516,2.82607,2.17361,0.0014984,0.0014984,0.0014984
40,4629.44,1.70179,1.54571,1.56798,0.28882,0.27697,0.17388,0.05828,2.31909,2.90315,2.19231,0.0014852,0.0014852,0.0014852
41,4741.35,1.72078,1.5628,1.57403,0.30889,0.23842,0.18564,0.06814,2.29147,3.06629,2.13664,0.001472,0.001472,0.001472
42,4853.33,1.68973,1.54513,1.56494,0.24532,0.28669,0.18107,0.06287,2.28849,2.90239,2.17463,0.0014588,0.0014588,0.0014588
43,4965.28,1.69365,1.56629,1.56762,0.25411,0.25138,0.15177,0.05759,2.22334,2.8886,2.11143,0.0014456,0.0014456,0.0014456
44,5077.15,1.70374,1.54389,1.56504,0.26307,0.26271,0.18176,0.06416,2.28445,2.90705,2.1695,0.0014324,0.0014324,0.0014324
45,5188.98,1.67812,1.50773,1.55424,0.27179,0.26466,0.17866,0.06745,2.30269,2.95897,2.19853,0.0014192,0.0014192,0.0014192
46,5300.83,1.66761,1.49026,1.54782,0.25745,0.28086,0.16627,0.05513,2.31275,2.92703,2.1669,0.001406,0.001406,0.001406
47,5412.54,1.67076,1.49942,1.54221,0.30018,0.25397,0.17199,0.05591,2.34622,2.99237,2.19925,0.0013928,0.0013928,0.0013928
48,5524.12,1.65474,1.45015,1.5286,0.28777,0.28127,0.18009,0.06137,2.29996,2.94629,2.17636,0.0013796,0.0013796,0.0013796
49,5636.13,1.64828,1.468,1.52547,0.27556,0.27308,0.16679,0.05643,2.32053,3.25076,2.18224,0.0013664,0.0013664,0.0013664
