epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.692,3.20404,6.88404,3.32637,0.01821,0.06401,0.00698,0.00164,3.23745,32.1703,3.78606,0.000662602,0.000662602,0.000662602
2,266.083,3.0716,3.28429,3.1367,0.00866,0.03159,0.0041,0.00135,3.23992,25.3291,3.37635,0.00132876,0.00132876,0.00132876
3,336.67,3.00511,3.18705,3.1396,0.04657,0.07232,0.01625,0.00515,3.15249,4.52064,3.22099,0.00199289,0.00199289,0.00199289
4,407.416,2.92375,3.08686,3.03486,0.13913,0.17048,0.0623,0.02101,2.91472,3.8607,3.00882,0.00199314,0.00199314,0.00199314
5,478.15,2.84272,2.97821,3.00631,0.12463,0.10806,0.05162,0.01519,2.91345,3.62313,3.01641,0.00198781,0.00198781,0.00198781
6,548.367,2.78222,2.89275,2.92313,0.1222,0.12884,0.05064,0.01746,2.88771,3.31575,2.99657,0.00198098,0.00198098,0.00198098
7,618.623,2.7121,2.85065,2.87297,0.17338,0.17623,0.0879,0.02872,2.81773,2.98113,2.90759,0.00197265,0.00197265,0.00197265
8,688.774,2.69662,2.79495,2.85661,0.14595,0.16542,0.07195,0.02448,2.80325,3.05152,2.89478,0.00196283,0.00196283,0.00196283
9,759.103,2.63424,2.71561,2.81497,0.15827,0.16625,0.09179,0.03169,2.75041,3.46228,2.88675,0.00195155,0.00195155,0.00195155
10,829.503,2.58904,2.64774,2.77412,0.19487,0.20116,0.11214,0.0397,2.75702,2.7359,2.90693,0.00193881,0.00193881,0.00193881
11,899.999,2.56573,2.60857,2.75342,0.17744,0.18869,0.09097,0.02866,2.71992,3.01023,2.87685,0.00192464,0.00192464,0.00192464
12,970.182,2.54642,2.58998,2.75351,0.16355,0.16708,0.07158,0.02315,2.96295,3.38331,3.0357,0.00190906,0.00190906,0.00190906
