epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,408.487,2.75898,4.65671,2.03602,0.14051,0.14224,0.06589,0.01482,2.89562,4.54938,1.78914,0.00998175,0.00332725,0.00998175,0.00332725,0.00998175,0.00332725,0.00998175,0.00332725
2,667.29,2.4169,2.47828,1.73501,0.08791,0.10898,0.02705,0.0064,3.18997,6.42952,2.0005,0.0198499,0.00661662,0.0198499,0.00661662,0.0198499,0.00661662,0.0198499,0.00661662
3,915.776,2.45855,2.45647,1.78425,0.12919,0.10562,0.04982,0.01439,3.18872,4.95825,1.97911,0.029586,0.009862,0.029586,0.009862,0.029586,0.009862,0.029586,0.009862
4,1158.83,2.45037,2.42981,1.82675,0.1317,0.12992,0.04348,0.01266,3.02569,4.16185,2.03378,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1400.87,2.34485,2.15528,1.78149,0.07074,0.06957,0.02627,0.00621,3.3067,4.381,2.29352,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1642.85,2.27718,2.00425,1.74172,0.08401,0.07376,0.0238,0.00772,3.16717,4.22839,2.10118,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1884.42,2.19853,1.84144,1.66771,0.12618,0.12322,0.04108,0.01075,3.04588,4.20299,2.02426,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,2126.43,2.15592,1.72558,1.64565,0.05776,0.02682,0.00573,0.00151,3.39924,5.32437,2.27298,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2368.01,2.11875,1.67121,1.62388,0.1657,0.15675,0.06163,0.01696,2.98695,3.34592,2.02939,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2609.44,2.09354,1.58821,1.61187,0.12961,0.08885,0.04038,0.01013,2.96504,4.62432,2.02628,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2850.95,2.05935,1.5436,1.59931,0.11569,0.08215,0.02948,0.00844,3.15993,4.09785,2.12623,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,3092.61,2.03027,1.51765,1.56726,0.14722,0.10478,0.04569,0.01238,3.1597,4.28125,2.14572,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3334.98,2.00997,1.46101,1.55977,0.15443,0.09975,0.04641,0.01346,3.05312,4.11726,2.09725,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,3577.11,1.98523,1.41246,1.54701,0.16194,0.12958,0.06446,0.01692,3.02004,4.28246,2.05268,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
