epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5858,3.03227,4.612,2.45766,0.0018,0.3221,0.00084,0.00021,3.20201,5.5859,3.18608,0.000654088,0.000654088,0.000654088
2,21.0953,2.99388,4.1204,2.32381,0.00063,0.11236,7e-05,1e-05,3.2914,26.1995,3.04327,0.00131204,0.00131204,0.00131204
3,31.399,2.9448,3.82222,2.28578,0.00237,0.42322,0.00651,0.00174,3.14361,3.96165,2.70849,0.00196119,0.00196119,0.00196119
4,41.6779,2.92294,3.62438,2.28587,0.01799,0.07491,0.00515,0.00128,3.2654,4.07621,2.8228,0.0019604,0.0019604,0.0019604
5,51.8484,2.82068,3.50663,2.23457,0.06424,0.01498,0.00722,0.00169,3.09175,3.9591,2.4362,0.0019472,0.0019472,0.0019472
6,61.8565,2.85056,3.44143,2.25003,0.0666,0.04303,0.01742,0.00481,2.96752,3.91539,2.45407,0.001934,0.001934,0.001934
7,71.9306,2.7322,3.38971,2.21102,0.09416,0.02622,0.01447,0.00422,3.00529,4.15485,2.4659,0.0019208,0.0019208,0.0019208
8,81.8672,2.74114,3.38737,2.20683,0.04559,0.16854,0.02567,0.008,2.83114,3.59735,2.40199,0.0019076,0.0019076,0.0019076
9,92.4555,2.74444,3.36438,2.21041,0.08722,0.05618,0.02759,0.00845,2.79643,3.85526,2.33902,0.0018944,0.0018944,0.0018944
10,102.511,2.69636,3.30978,2.15642,0.07622,0.05243,0.02195,0.00638,2.80523,3.48232,2.37992,0.0018812,0.0018812,0.0018812
11,112.629,2.63264,3.23015,2.1156,0.12957,0.0824,0.03184,0.01186,2.73176,3.46589,2.28134,0.001868,0.001868,0.001868
12,122.908,2.56131,3.24361,2.08724,0.08386,0.09363,0.04239,0.01306,2.72506,3.44993,2.42051,0.0018548,0.0018548,0.0018548
13,133.117,2.61278,3.18657,2.0997,0.0931,0.07116,0.03585,0.01183,2.68714,3.38552,2.28735,0.0018416,0.0018416,0.0018416
14,143.281,2.60361,3.18238,2.12708,0.11214,0.09363,0.04055,0.0152,2.67582,3.33812,2.29573,0.0018284,0.0018284,0.0018284
15,153.317,2.60432,3.16543,2.12966,0.07204,0.08375,0.03726,0.01151,2.76631,3.49942,2.32611,0.0018152,0.0018152,0.0018152
16,163.423,2.57551,3.13051,2.07305,0.08685,0.08989,0.03235,0.01109,2.65107,3.41621,2.27173,0.001802,0.001802,0.001802
17,173.483,2.54089,3.16288,2.09777,0.11484,0.11236,0.05181,0.01943,2.61376,3.24807,2.25378,0.0017888,0.0017888,0.0017888
18,183.592,2.47071,3.0864,2.05782,0.11846,0.09738,0.05319,0.02066,2.5724,3.17933,2.2415,0.0017756,0.0017756,0.0017756
19,193.748,2.43514,3.04074,2.02376,0.11337,0.11878,0.04935,0.01774,2.61941,3.39314,2.32545,0.0017624,0.0017624,0.0017624
20,203.744,2.4701,3.0229,2.01274,0.15168,0.11985,0.06253,0.02302,2.52882,3.22158,2.19583,0.0017492,0.0017492,0.0017492
21,213.815,2.43964,3.02252,2.01048,0.14462,0.12734,0.05926,0.02189,2.55387,3.23394,2.2103,0.001736,0.001736,0.001736
22,223.866,2.45057,2.9926,2.02224,0.10513,0.11985,0.04212,0.01776,2.60099,3.36109,2.18526,0.0017228,0.0017228,0.0017228
23,233.848,2.42331,2.99546,1.97775,0.1636,0.1236,0.06656,0.02529,2.56621,3.21417,2.23861,0.0017096,0.0017096,0.0017096
24,243.984,2.38877,2.99168,1.94567,0.13823,0.14607,0.06167,0.0208,2.51028,3.11781,2.17287,0.0016964,0.0016964,0.0016964
25,254.11,2.39862,2.98396,1.95437,0.17314,0.1236,0.07347,0.0254,2.55435,3.14653,2.19274,0.0016832,0.0016832,0.0016832
26,264.461,2.4071,2.99213,1.96678,0.14196,0.14232,0.08035,0.03346,2.48676,3.10099,2.14438,0.00167,0.00167,0.00167
27,274.619,2.41808,2.95465,1.98776,0.12384,0.14232,0.04902,0.01828,2.54673,3.20982,2.13557,0.0016568,0.0016568,0.0016568
28,284.64,2.32951,2.91181,1.90985,0.1663,0.13448,0.07402,0.02639,2.49018,3.11713,2.11296,0.0016436,0.0016436,0.0016436
29,294.737,2.32979,2.87958,1.92561,0.16215,0.16105,0.07992,0.03149,2.48372,3.03927,2.12352,0.0016304,0.0016304,0.0016304
30,304.833,2.32235,2.8883,1.91558,0.14616,0.15356,0.08024,0.02943,2.44772,3.03855,2.16394,0.0016172,0.0016172,0.0016172
31,314.885,2.3047,2.86841,1.90359,0.12594,0.14607,0.06366,0.02541,2.5064,3.13443,2.18956,0.001604,0.001604,0.001604
32,324.928,2.32099,2.90702,1.91753,0.13953,0.16105,0.06265,0.02477,2.48617,3.1828,2.12953,0.0015908,0.0015908,0.0015908
33,334.996,2.34579,2.92619,1.96212,0.15689,0.1161,0.0705,0.02812,2.52682,3.08675,2.22469,0.0015776,0.0015776,0.0015776
