epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,244.405,3.23015,7.78121,3.26634,0.00199,0.32846,0.00142,0.00037,3.72958,6.55095,4.14408,0.000663677,0.000663677,0.000663677
2,352.873,3.13871,3.46411,3.26683,0.05443,0.08943,0.02499,0.0077,2.99857,13.9687,3.25885,0.00132984,0.00132984,0.00132984
3,460.945,3.10419,3.35119,3.37257,0.0443,0.07967,0.01922,0.00568,2.97571,8.6734,3.1481,0.00199396,0.00199396,0.00199396
4,569.005,2.99369,3.24167,3.21948,0.05401,0.06016,0.01412,0.00396,3.19277,5.20302,3.21614,0.00199314,0.00199314,0.00199314
5,676.726,2.89574,3.13152,3.13874,0.134,0.10976,0.04938,0.01622,2.84648,4.91167,2.95841,0.00198781,0.00198781,0.00198781
6,784.685,2.85897,3.02011,3.07178,0.11504,0.1374,0.06292,0.02176,2.77128,5.34398,2.91364,0.00198098,0.00198098,0.00198098
7,892.722,2.77284,2.92265,3.01453,0.13565,0.12195,0.0565,0.01628,2.79132,4.36862,2.96098,0.00197265,0.00197265,0.00197265
8,1000.88,2.72945,2.8861,2.98149,0.12114,0.11707,0.05125,0.01598,2.75107,6.07937,2.91982,0.00196283,0.00196283,0.00196283
9,1108.01,2.67616,2.83873,2.95359,0.16508,0.13821,0.0657,0.02185,2.75405,3.54452,2.90833,0.00195155,0.00195155,0.00195155
10,1215.53,2.64529,2.78166,2.89759,0.09988,0.13089,0.0494,0.01673,2.6704,4.25152,2.84772,0.00193881,0.00193881,0.00193881
11,1323.54,2.62152,2.7312,2.88849,0.18744,0.1935,0.09127,0.03099,2.59984,4.77272,2.75091,0.00192464,0.00192464,0.00192464
12,1431.2,2.55161,2.67882,2.82985,0.15898,0.18503,0.08481,0.02817,2.68447,3.69159,2.83811,0.00190906,0.00190906,0.00190906
13,1538.87,2.52294,2.64681,2.78191,0.17702,0.19512,0.08751,0.02744,2.59278,3.82879,2.74857,0.0018921,0.0018921,0.0018921
14,1646.42,2.53802,2.63408,2.79767,0.17541,0.20244,0.0911,0.03115,2.62608,4.09164,2.72797,0.00187377,0.00187377,0.00187377
15,1754.26,2.4799,2.57601,2.75041,0.18499,0.19593,0.09034,0.02932,2.69702,4.52623,2.90236,0.00185411,0.00185411,0.00185411
16,1861.91,2.47272,2.53814,2.74396,0.19923,0.21301,0.09313,0.0323,2.62655,3.78825,2.76222,0.00183315,0.00183315,0.00183315
17,1969.82,2.4536,2.47728,2.73791,0.11945,0.18455,0.05517,0.01771,2.75144,7.62944,2.91725,0.00181093,0.00181093,0.00181093
18,2077.72,2.41985,2.4842,2.70021,0.22374,0.21138,0.13307,0.04394,2.57095,4.60506,2.72018,0.00178746,0.00178746,0.00178746
19,2185.23,2.40699,2.45367,2.67731,0.17496,0.20407,0.09351,0.03208,2.54195,4.364,2.70319,0.0017628,0.0017628,0.0017628
20,2292.75,2.39588,2.41909,2.67766,0.18321,0.18049,0.1047,0.03507,2.59148,4.22335,2.76328,0.00173698,0.00173698,0.00173698
21,2399.75,2.37211,2.35985,2.64953,0.1753,0.23381,0.10181,0.03338,2.64631,5.1151,2.79072,0.00171004,0.00171004,0.00171004
22,2507.02,2.35832,2.31868,2.63655,0.21464,0.20976,0.1078,0.03426,2.67248,4.23744,2.86402,0.00168201,0.00168201,0.00168201
23,2614.45,2.31564,2.31031,2.62444,0.21454,0.21606,0.10081,0.02933,2.71508,4.34298,2.82372,0.00165295,0.00165295,0.00165295
24,2721.99,2.33381,2.28125,2.62433,0.18581,0.22927,0.11329,0.03596,2.65841,4.94855,2.79125,0.0016229,0.0016229,0.0016229
25,2829.81,2.29569,2.24941,2.58607,0.17018,0.24959,0.12288,0.04011,2.65918,4.33382,2.83701,0.00159191,0.00159191,0.00159191
26,2937.7,2.26827,2.19762,2.56605,0.2538,0.24959,0.15768,0.05302,2.61045,3.39468,2.80065,0.00156001,0.00156001,0.00156001
27,3045.03,2.23447,2.16145,2.53971,0.15653,0.24309,0.10375,0.03487,2.64653,4.03117,2.80569,0.00152727,0.00152727,0.00152727
28,3152.12,2.26399,2.15889,2.54739,0.18856,0.21951,0.11321,0.03686,2.72372,3.88863,2.8606,0.00149374,0.00149374,0.00149374
