epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,383.711,2.82949,4.88896,2.01484,0.3078,0.22092,0.16915,0.04791,2.48753,2.61815,1.80589,0.00997967,0.00332656,0.00997967,0.00332656,0.00997967,0.00332656,0.00997967,0.00332656
2,624.268,2.48803,2.58161,1.74209,0.26568,0.22964,0.14656,0.04439,2.55196,2.7974,1.81629,0.0198478,0.00661594,0.0198478,0.00661594,0.0198478,0.00661594,0.0198478,0.00661594
3,855.443,2.49523,2.52246,1.7722,0.21361,0.23601,0.11838,0.03134,2.59316,3.47939,1.93374,0.0295839,0.00986131,0.0295839,0.00986131,0.0295839,0.00986131,0.0295839,0.00986131
4,1082.37,2.49011,2.46557,1.80796,0.31875,0.25509,0.18924,0.05381,2.68111,3.2005,2.00989,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1308.71,2.3864,2.21263,1.77427,0.50994,0.42939,0.42858,0.15228,2.36025,2.06198,1.84484,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1535.08,2.30444,2.00506,1.73396,0.54819,0.42494,0.43841,0.14819,2.38157,2.44611,1.86858,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1760.4,2.23324,1.8455,1.67788,0.63302,0.4771,0.50086,0.18319,2.33359,1.84455,1.85061,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1985.96,2.19466,1.74552,1.66431,0.71497,0.45038,0.51694,0.18959,2.34285,2.02338,1.84153,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2211.38,2.14609,1.65527,1.6238,0.71542,0.49936,0.56374,0.20857,2.32094,1.84876,1.81146,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2436.66,2.12526,1.57788,1.6007,0.77628,0.53753,0.61032,0.23694,2.24665,1.73265,1.79099,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2662.1,2.07339,1.50054,1.57647,0.78639,0.62595,0.67441,0.25527,2.22692,1.52005,1.74601,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2887.57,2.06743,1.45749,1.56747,0.87553,0.68321,0.75404,0.30632,2.07528,1.34096,1.66167,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3113.03,2.05733,1.42564,1.55403,0.82504,0.62023,0.69613,0.26587,2.20913,1.53578,1.74505,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,3338.58,2.01282,1.37991,1.54417,0.86342,0.67494,0.74765,0.29826,2.12287,1.26755,1.6778,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,3564.54,2.01397,1.35602,1.53278,0.89247,0.71275,0.79156,0.3315,2.02285,1.26791,1.63597,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
