epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,389.772,2.80733,4.80751,2.02509,0.1453,0.14643,0.04937,0.0113,2.88567,3.76677,1.87842,0.00998077,0.00332692,0.00998077,0.00332692,0.00998077,0.00332692,0.00998077,0.00332692
2,624.948,2.44541,2.42973,1.70956,0.09593,0.12946,0.02799,0.00676,3.14967,4.43425,1.94396,0.0198489,0.0066163,0.0198489,0.0066163,0.0198489,0.0066163,0.0198489,0.0066163
3,849.953,2.44708,2.40334,1.752,0.04692,0.10625,0.017,0.00542,3.61542,4.69219,2.50258,0.029585,0.00986167,0.029585,0.00986167,0.029585,0.00986167,0.029585,0.00986167
4,1071.16,2.44856,2.33286,1.79078,0.01393,0.05089,0.00226,0.0005,3.36318,5.44409,2.21902,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,1292.51,2.34918,2.08667,1.73944,0.12009,0.11696,0.04177,0.0101,3.33641,3.89745,2.2587,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,1512.56,2.25319,1.88859,1.69186,0.02857,0.04643,0.00612,0.0014,3.22545,4.87538,2.09079,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,1732.91,2.20525,1.74956,1.65136,0.18353,0.10804,0.05063,0.01412,3.1189,3.65774,2.08326,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,1953.65,2.1737,1.67676,1.62936,0.15527,0.10893,0.04051,0.00976,3.32015,3.82484,2.24865,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,2173.52,2.10842,1.56995,1.58073,0.20876,0.09286,0.05593,0.01162,3.28646,4.26908,2.09925,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,2393.53,2.09441,1.50872,1.57752,0.06797,0.0375,0.01001,0.00324,3.0505,5.38654,2.01281,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,2613.39,2.06098,1.44442,1.55158,0.12337,0.08125,0.03168,0.00821,3.19657,4.37183,2.1065,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,2834.26,2.02496,1.40128,1.52112,0.18958,0.1125,0.06504,0.01599,3.44834,3.98652,2.33282,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,3054.28,2.00966,1.35731,1.52388,0.10144,0.09554,0.03866,0.00948,3.16607,4.38858,2.09714,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,3275.31,1.99722,1.32938,1.51279,0.12484,0.06875,0.02693,0.00656,3.50436,4.64861,2.34682,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,3496.19,1.97798,1.29855,1.50474,0.15481,0.12003,0.07023,0.01839,3.15952,3.79826,2.02993,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,3716.83,1.95601,1.27445,1.49583,0.18141,0.08571,0.04927,0.01161,3.20199,4.34729,2.11114,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,3937.4,1.94768,1.24641,1.47833,0.14752,0.10089,0.0388,0.01155,3.26623,4.61952,2.12666,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,4157.31,1.91053,1.21197,1.46935,0.22602,0.1375,0.07782,0.01823,3.11633,4.26804,2.03098,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,4377.63,1.91407,1.2284,1.4687,0.09399,0.10446,0.03844,0.00905,3.06084,4.51298,2.0096,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,4598.21,1.8911,1.18652,1.45095,0.23763,0.11429,0.07381,0.01827,3.20143,4.37082,2.14618,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,4817.71,1.88438,1.17727,1.45112,0.15941,0.09643,0.05062,0.01498,3.17992,4.84676,2.1303,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,5037.39,1.86647,1.15612,1.44741,0.20674,0.11875,0.05909,0.01595,3.17171,4.5798,2.10666,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,5257.49,1.86734,1.15053,1.44263,0.28219,0.1125,0.08968,0.02111,3.29367,4.67566,2.21974,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,5477.63,1.8427,1.10948,1.42742,0.15807,0.08482,0.0439,0.01494,3.38518,4.66892,2.28472,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,5697.19,1.83819,1.10757,1.41067,0.3114,0.12411,0.08817,0.02418,3.24884,4.86931,2.14748,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,5917.72,1.83144,1.10962,1.41974,0.19382,0.10179,0.06989,0.01973,3.08809,4.60393,2.04713,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,6137.81,1.81304,1.09838,1.41406,0.1931,0.10982,0.04638,0.01274,3.31841,4.9759,2.20989,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,6358.73,1.80962,1.06806,1.40065,0.24373,0.1,0.05592,0.01274,3.42914,4.48691,2.34348,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,6579.61,1.8039,1.08824,1.41069,0.18761,0.09732,0.04654,0.01422,3.19409,4.84939,2.15881,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,6800.55,1.79661,1.06446,1.41036,0.13855,0.1125,0.03151,0.00898,3.17358,5.17509,2.1038,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,7021.59,1.78157,1.04008,1.38685,0.19949,0.125,0.05746,0.01276,3.11638,4.83818,2.11406,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,7241.6,1.77786,1.03324,1.3795,0.22789,0.1125,0.05511,0.01495,3.16483,4.67256,2.11195,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,7462.52,1.77222,1.0299,1.38357,0.15713,0.11429,0.04806,0.01376,3.22019,4.80683,2.13249,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
