epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.893,2.93605,8.12104,2.67372,0.0004,0.00375,1e-05,0,3.75772,57.2524,4.32322,0.000654088,0.000654088,0.000654088
2,172.726,2.92952,3.86852,2.56316,0,0,0,0,nan,nan,nan,0.00131204,0.00131204,0.00131204
3,197.306,2.95867,3.75112,2.58279,0.00086,0.12734,0.00013,3e-05,nan,nan,nan,0.00196119,0.00196119,0.00196119
4,220.307,2.95113,3.77996,2.58879,0.00235,0.00749,9e-05,1e-05,nan,nan,nan,0.0019604,0.0019604,0.0019604
5,243.352,2.86072,3.64464,2.52654,0.0255,0.03371,0.00397,0.00096,2.91343,9.01918,2.92797,0.0019472,0.0019472,0.0019472
6,266.74,2.86391,3.65055,2.5061,0.00134,0.2397,0.00033,8e-05,3.01318,59.0731,3.00291,0.001934,0.001934,0.001934
7,290.03,2.77991,3.58144,2.52069,0.01001,0.21348,0.00821,0.00244,2.84943,4.49601,2.80744,0.0019208,0.0019208,0.0019208
8,313.075,2.70728,3.5715,2.47033,0.00444,0.28464,0.00324,0.00101,2.87341,4.25546,2.74888,0.0019076,0.0019076,0.0019076
9,335.975,2.68943,3.49912,2.42191,0.0412,0.05243,0.0155,0.00425,2.74515,3.82306,2.58489,0.0018944,0.0018944,0.0018944
10,359.242,2.67951,3.48106,2.36147,0.06255,0.0824,0.01738,0.00476,2.82455,5.6358,2.56383,0.0018812,0.0018812,0.0018812
11,382.606,2.64148,3.40843,2.3732,0.08904,0.04494,0.02243,0.00893,2.78021,4.20547,2.6078,0.001868,0.001868,0.001868
12,405.877,2.58714,3.40258,2.34092,0.10406,0.05618,0.02771,0.00909,2.67549,6.14894,2.55251,0.0018548,0.0018548,0.0018548
13,428.989,2.58292,3.33579,2.31121,0.05278,0.10058,0.01736,0.00612,2.60712,3.87735,2.50108,0.0018416,0.0018416,0.0018416
14,452.032,2.56993,3.32445,2.31993,0.09116,0.07865,0.02874,0.00837,2.60276,3.9604,2.52026,0.0018284,0.0018284,0.0018284
15,475.155,2.54441,3.36192,2.33169,0.13546,0.10487,0.03863,0.01321,2.60597,3.71159,2.51899,0.0018152,0.0018152,0.0018152
16,498.416,2.53662,3.27207,2.30199,0.07931,0.11236,0.02728,0.00892,2.59217,3.73362,2.51648,0.001802,0.001802,0.001802
17,521.584,2.53918,3.28358,2.29993,0.11421,0.08989,0.03144,0.01102,2.61356,3.50758,2.52874,0.0017888,0.0017888,0.0017888
18,544.705,2.46179,3.25917,2.26172,0.14423,0.09738,0.0494,0.01845,2.55903,3.53223,2.47716,0.0017756,0.0017756,0.0017756
19,567.874,2.44775,3.20936,2.25738,0.05597,0.09738,0.02574,0.00929,2.61563,3.94737,2.43844,0.0017624,0.0017624,0.0017624
20,590.897,2.47899,3.18888,2.23544,0.098,0.0824,0.0323,0.01114,2.55108,3.57925,2.47239,0.0017492,0.0017492,0.0017492
21,613.987,2.43543,3.17,2.19734,0.11262,0.10861,0.04963,0.01686,2.5388,3.4168,2.51286,0.001736,0.001736,0.001736
22,637.068,2.44051,3.14471,2.24329,0.0745,0.11985,0.03365,0.01242,2.51154,3.45372,2.50116,0.0017228,0.0017228,0.0017228
23,660.304,2.40234,3.13448,2.18711,0.05547,0.09738,0.02392,0.00802,2.57007,4.04621,2.4159,0.0017096,0.0017096,0.0017096
24,683.369,2.39071,3.14698,2.19217,0.14582,0.14232,0.06079,0.02105,2.46776,3.28085,2.40238,0.0016964,0.0016964,0.0016964
25,706.548,2.38982,3.16373,2.18533,0.11157,0.10112,0.05248,0.01681,2.43249,3.49486,2.39081,0.0016832,0.0016832,0.0016832
26,729.604,2.37924,3.13655,2.17055,0.13258,0.13109,0.05391,0.01906,2.51242,3.34954,2.45262,0.00167,0.00167,0.00167
27,752.664,2.41104,3.12329,2.18689,0.14846,0.12734,0.05706,0.02018,2.44468,3.36969,2.34962,0.0016568,0.0016568,0.0016568
28,775.837,2.35622,3.05825,2.15218,0.12228,0.14981,0.05262,0.01886,2.47502,3.59668,2.42898,0.0016436,0.0016436,0.0016436
29,799.017,2.3711,3.06374,2.17871,0.10835,0.12653,0.04643,0.01761,2.52607,3.43446,2.33169,0.0016304,0.0016304,0.0016304
30,822.192,2.35631,3.06516,2.14681,0.11402,0.14607,0.05794,0.02095,2.47189,3.31702,2.37582,0.0016172,0.0016172,0.0016172
31,845.255,2.31049,3.02927,2.10576,0.11827,0.12734,0.05959,0.0228,2.46944,3.23163,2.38795,0.001604,0.001604,0.001604
32,868.466,2.30412,3.04343,2.11356,0.14476,0.17978,0.06072,0.02229,2.45585,3.21928,2.38242,0.0015908,0.0015908,0.0015908
